plot,block,treatment,year,quadrat,dateII,date,dist,waterhemp.den,flowering,flowering.data,germination,avg
101,1,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,15,2,yes,10,14
102,1,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,0,0,yes,3,14
103,1,wheat/clover,2022,1M,15-May,5/15,winter ann forage,6,0,yes,21,14
104,1,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,155.5,0,yes,22,14
105,1,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,18,2,yes,11,7.5
106,1,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,1,0,yes,6,7.5
201,1,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,1,0,yes,8,7.5
202,2,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,5.5,0,yes,5,7.5
203,2,wheat/clover,2022,1M,15-May,5/15,winter ann forage,3.5,0,yes,9,26.75
204,2,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,5.5,1,yes,32,26.75
205,2,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,4,0,yes,27,26.75
206,2,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,1,0,yes,39,26.75
301,3,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,1,4,yes,5,9.5
302,3,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,15.5,0,yes,3,9.5
303,3,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,18.5,0,yes,12,9.5
304,3,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,10.5,0,yes,18,9.5
305,3,wheat/clover,2022,1M,15-May,5/15,winter ann forage,4.5,0,yes,9,15.5
306,3,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,8.5,0,yes,6,15.5
401,4,wheat/clover,2022,1M,15-May,5/15,winter ann forage,4.5,0,yes,27,15.5
402,4,alfalfa/orchardgrass,2022,1M,15-May,5/15,winter ann forage,7.5,1,yes,20,15.5
403,4,ryelage-sorghum sudangrass,2022,1M,15-May,5/15,winter ann forage,1.5,2,yes,3,24.5
404,4,oats-cc mix,2022,1M,15-May,5/15,winter ann forage,12.5,0,yes,53,24.5
405,4,alfalfa/oats,2022,1M,15-May,5/15,winter ann forage,4.45,4,yes,34,24.5
406,4,wheat-cc mix,2022,1M,15-May,5/15,winter ann forage,1,0,yes,8,24.5
101,1,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,18,6,yes,,
102,1,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,15,9,yes,,
103,1,wheat/clover,2023,1M,15-May,5/15,winter ann forage,6,0,yes,,
104,1,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,5,1,yes,,
105,1,alfalfa/oats,2023,1M,15-May,5/15,winter ann forage,5,5,yes,,
106,1,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,0,13,yes,,
201,2,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,0,2,yes,,
202,2,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,2,1,yes,,
203,2,wheat/clover,2023,1M,15-May,5/15,winter ann forage,0,1,yes,,
204,2,alfalfa/oats,2023,1M,15-May,5/15,winter ann forage,8,1,yes,,
205,2,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,7,5,yes,,
206,2,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,1,9,yes,,
301,3,alfalfa/oats,2023,1M,15-May,5/15,winter ann forage,0,4,yes,,
302,3,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,8,5,yes,,
303,3,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,5,4,yes,,
304,3,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,3,9,yes,,
305,3,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,8,3,yes,,
306,3,wheat/clover,2023,1M,15-May,5/15,winter ann forage,0,0,yes,,
401,4,ryelage-sorghum sudangrass,2023,1M,15-May,5/15,winter ann forage,0,3,yes,,
402,4,wheat/clover,2023,1M,15-May,5/15,winter ann forage,2,0,yes,,
403,4,oats-cc mix,2023,1M,15-May,5/15,winter ann forage,0,1,yes,,
404,4,alfalfa/orchardgrass,2023,1M,15-May,5/15,winter ann forage,5,3,yes,,
405,4,wheat-cc mix,2023,1M,15-May,5/15,winter ann forage,0,7,yes,,
406,4,alfalfa/oats,2023,1M,15-May,5/15,winter ann forage,3,0,yes,,
101,1,alfalfa/orchardgrass,2022,1M,15-Jun,6/15,competition,40,,,,
102,1,ryelage-sorghum sudangrass,2022,1M,15-Jun,6/15,competition,60,,,,
103,1,wheat/clover,2022,1M,15-Jun,6/15,competition,4,,,,
104,1,wheat-cc mix,2022,1M,15-Jun,6/15,competition,12,,,,
105,1,alfalfa/oats,2022,1M,15-Jun,6/15,competition,36,,,,
106,1,oats-cc mix,2022,1M,15-Jun,6/15,competition,4,,,,
201,1,wheat-cc mix,2022,1M,15-Jun,6/15,competition,0,,,,
202,2,alfalfa/oats,2022,1M,15-Jun,6/15,competition,16,,,,
203,2,wheat/clover,2022,1M,15-Jun,6/15,competition,16,,,,
204,2,alfalfa/orchardgrass,2022,1M,15-Jun,6/15,competition,128,,,,
205,2,oats-cc mix,2022,1M,15-Jun,6/15,competition,4,,,,
206,2,ryelage-sorghum sudangrass,2022,1M,15-Jun,6/15,competition,272,,,,
301,3,ryelage-sorghum sudangrass,2022,1M,15-Jun,6/15,competition,192,,,,
302,3,oats-cc mix,2022,1M,15-Jun,6/15,competition,40,,,,
303,3,wheat-cc mix,2022,1M,15-Jun,6/15,competition,0,,,,
304,3,alfalfa/oats,2022,1M,15-Jun,6/15,competition,44,,,,
305,3,wheat/clover,2022,1M,15-Jun,6/15,competition,28,,,,
306,3,alfalfa/orchardgrass,2022,1M,15-Jun,6/15,competition,52,,,,
401,4,wheat/clover,2022,1M,15-Jun,6/15,competition,48,,,,
402,4,alfalfa/orchardgrass,2022,1M,15-Jun,6/15,competition,52,,,,
403,4,ryelage-sorghum sudangrass,2022,1M,15-Jun,6/15,competition,84,,,,
404,4,oats-cc mix,2022,1M,15-Jun,6/15,competition,88,,,,
405,4,alfalfa/oats,2022,1M,15-Jun,6/15,competition,136,,,,
406,4,wheat-cc mix,2022,1M,15-Jun,6/15,competition,0,,,,
101,1,alfalfa/orchardgrass,2023,1M,15-Jun,6/15,competition,15,,,,
102,1,ryelage-sorghum sudangrass,2023,1M,15-Jun,6/15,competition,0,,,,
103,1,wheat/clover,2023,1M,15-Jun,6/15,competition,0,,,,
104,1,wheat-cc mix,2023,1M,15-Jun,6/15,competition,0,,,,
105,1,alfalfa/oats,2023,1M,15-Jun,6/15,competition,3,,,,
106,1,oats-cc mix,2023,1M,15-Jun,6/15,competition,0,,,,
201,2,wheat-cc mix,2023,1M,15-Jun,6/15,competition,2,,,,
202,2,oats-cc mix,2023,1M,15-Jun,6/15,competition,6,,,,
203,2,wheat/clover,2023,1M,15-Jun,6/15,competition,0,,,,
204,2,alfalfa/oats,2023,1M,15-Jun,6/15,competition,5,,,,
205,2,alfalfa/orchardgrass,2023,1M,15-Jun,6/15,competition,13,,,,
206,2,ryelage-sorghum sudangrass,2023,1M,15-Jun,6/15,competition,0,,,,
301,3,alfalfa/oats,2023,1M,15-Jun,6/15,competition,5,,,,
302,3,wheat-cc mix,2023,1M,15-Jun,6/15,competition,0,,,,
303,3,alfalfa/orchardgrass,2023,1M,15-Jun,6/15,competition,37,,,,
304,3,ryelage-sorghum sudangrass,2023,1M,15-Jun,6/15,competition,0,,,,
305,3,oats-cc mix,2023,1M,15-Jun,6/15,competition,2,,,,
306,3,wheat/clover,2023,1M,15-Jun,6/15,competition,0,,,,
401,4,ryelage-sorghum sudangrass,2023,1M,15-Jun,6/15,competition,0,,,,
402,4,wheat/clover,2023,1M,15-Jun,6/15,competition,0,,,,
403,4,oats-cc mix,2023,1M,15-Jun,6/15,competition,4,,,,
404,4,alfalfa/orchardgrass,2023,1M,15-Jun,6/15,competition,0,,,,
405,4,wheat-cc mix,2023,1M,15-Jun,6/15,competition,0,,,,
406,4,alfalfa/oats,2023,1M,15-Jun,6/15,competition,0,,,,
101,1,alfalfa/orchardgrass,2023,1M,30-Jun,6/30,per forage,16,,,,
102,1,ryelage-sorghum sudangrass,2023,1M,30-Jun,6/30,per forage,45,,,,
103,1,wheat/clover,2023,1M,30-Jun,6/30,per forage,0,,,,
104,1,wheat-cc mix,2023,1M,30-Jun,6/30,per forage,0,,,,
105,1,alfalfa/oats,2023,1M,30-Jun,6/30,per forage,1,,,,
106,1,oats-cc mix,2023,1M,30-Jun,6/30,per forage,9,,,,
201,2,wheat-cc mix,2023,1M,30-Jun,6/30,per forage,0,,,,
202,2,oats-cc mix,2023,1M,30-Jun,6/30,per forage,5,,,,
203,2,wheat/clover,2023,1M,30-Jun,6/30,per forage,3,,,,
204,2,alfalfa/oats,2023,1M,30-Jun,6/30,per forage,5,,,,
205,2,alfalfa/orchardgrass,2023,1M,30-Jun,6/30,per forage,17,,,,
206,2,ryelage-sorghum sudangrass,2023,1M,30-Jun,6/30,per forage,26,,,,
301,3,alfalfa/oats,2023,1M,30-Jun,6/30,per forage,7,,,,
302,3,wheat-cc mix,2023,1M,30-Jun,6/30,per forage,0,,,,
303,3,alfalfa/orchardgrass,2023,1M,30-Jun,6/30,per forage,42,,,,
304,3,ryelage-sorghum sudangrass,2023,1M,30-Jun,6/30,per forage,16,,,,
305,3,oats-cc mix,2023,1M,30-Jun,6/30,per forage,1,,,,
306,3,wheat/clover,2023,1M,30-Jun,6/30,per forage,0,,,,
401,4,ryelage-sorghum sudangrass,2023,1M,30-Jun,6/30,per forage,34,,,,
402,4,wheat/clover,2023,1M,30-Jun,6/30,per forage,0,,,,
403,4,oats-cc mix,2023,1M,30-Jun,6/30,per forage,0,,,,
404,4,alfalfa/orchardgrass,2023,1M,30-Jun,6/30,per forage,15,,,,
405,4,wheat-cc mix,2023,1M,30-Jun,6/30,per forage,0,,,,
406,4,alfalfa/oats,2023,1M,30-Jun,6/30,per forage,2,,,,
101,1,alfalfa/orchardgrass,2022,1M,15-Jul,7/15,per forage/ann grain,28,,,,
102,1,ryelage-sorghum sudangrass,2022,1M,15-Jul,7/15,per forage/ann grain,16,,,,
103,1,wheat/clover,2022,1M,15-Jul,7/15,per forage/ann grain,0,,,,
104,1,wheat-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,16,,,,
105,1,alfalfa/oats,2022,1M,15-Jul,7/15,per forage/ann grain,36,,,,
106,1,oats-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,4,,,,
201,1,wheat-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,4,,,,
202,2,alfalfa/oats,2022,1M,15-Jul,7/15,per forage/ann grain,20,,,,
203,2,wheat/clover,2022,1M,15-Jul,7/15,per forage/ann grain,16,,,,
204,2,alfalfa/orchardgrass,2022,1M,15-Jul,7/15,per forage/ann grain,92,,,,
205,2,oats-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,8,,,,
206,2,ryelage-sorghum sudangrass,2022,1M,15-Jul,7/15,per forage/ann grain,8,,,,
301,3,ryelage-sorghum sudangrass,2022,1M,15-Jul,7/15,per forage/ann grain,208,,,,
302,3,oats-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,20,,,,
303,3,wheat-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,12,,,,
304,3,alfalfa/oats,2022,1M,15-Jul,7/15,per forage/ann grain,40,,,,
305,3,wheat/clover,2022,1M,15-Jul,7/15,per forage/ann grain,28,,,,
306,3,alfalfa/orchardgrass,2022,1M,15-Jul,7/15,per forage/ann grain,44,,,,
401,4,wheat/clover,2022,1M,15-Jul,7/15,per forage/ann grain,36,,,,
402,4,alfalfa/orchardgrass,2022,1M,15-Jul,7/15,per forage/ann grain,52,,,,
403,4,ryelage-sorghum sudangrass,2022,1M,15-Jul,7/15,per forage/ann grain,0,,,,
404,4,oats-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,68,,,,
405,4,alfalfa/oats,2022,1M,15-Jul,7/15,per forage/ann grain,48,,,,
406,4,wheat-cc mix,2022,1M,15-Jul,7/15,per forage/ann grain,0,,,,
101,1,alfalfa/orchardgrass,2023,1M,30-Jul,7/30,ann grain,15,,,,
102,1,ryelage-sorghum sudangrass,2023,1M,30-Jul,7/30,ann grain,58,,,,
103,1,wheat/clover,2023,1M,30-Jul,7/30,ann grain,3,,,,
104,1,wheat-cc mix,2023,1M,30-Jul,7/30,ann grain,0,,,,
105,1,alfalfa/oats,2023,1M,30-Jul,7/30,ann grain,5,,,,
106,1,oats-cc mix,2023,1M,30-Jul,7/30,ann grain,6,,,,
201,2,wheat-cc mix,2023,1M,30-Jul,7/30,ann grain,10,,,,
202,2,oats-cc mix,2023,1M,30-Jul,7/30,ann grain,3,,,,
203,2,wheat/clover,2023,1M,30-Jul,7/30,ann grain,10,,,,
204,2,alfalfa/oats,2023,1M,30-Jul,7/30,ann grain,7,,,,
205,2,alfalfa/orchardgrass,2023,1M,30-Jul,7/30,ann grain,8,,,,
206,2,ryelage-sorghum sudangrass,2023,1M,30-Jul,7/30,ann grain,47,,,,
301,3,alfalfa/oats,2023,1M,30-Jul,7/30,ann grain,8,,,,
302,3,wheat-cc mix,2023,1M,30-Jul,7/30,ann grain,11,,,,
303,3,alfalfa/orchardgrass,2023,1M,30-Jul,7/30,ann grain,16,,,,
304,3,ryelage-sorghum sudangrass,2023,1M,30-Jul,7/30,ann grain,40,,,,
305,3,oats-cc mix,2023,1M,30-Jul,7/30,ann grain,5,,,,
306,3,wheat/clover,2023,1M,30-Jul,7/30,ann grain,4,,,,
401,4,ryelage-sorghum sudangrass,2023,1M,30-Jul,7/30,ann grain,68,,,,
402,4,wheat/clover,2023,1M,30-Jul,7/30,ann grain,7,,,,
403,4,oats-cc mix,2023,1M,30-Jul,7/30,ann grain,3,,,,
404,4,alfalfa/orchardgrass,2023,1M,30-Jul,7/30,ann grain,22,,,,
405,4,wheat-cc mix,2023,1M,30-Jul,7/30,ann grain,9,,,,
406,4,alfalfa/oats,2023,1M,30-Jul,7/30,ann grain,2,,,,
101,1,alfalfa/orchardgrass,2022,1M,15-Aug,8/15,competition,29,,,,
102,1,ryelage-sorghum sudangrass,2022,1M,15-Aug,8/15,competition,14,,,,
103,1,wheat/clover,2022,1M,15-Aug,8/15,competition,0,,,,
104,1,wheat-cc mix,2022,1M,15-Aug,8/15,competition,4,,,,
105,1,alfalfa/oats,2022,1M,15-Aug,8/15,competition,6,,,,
106,1,oats-cc mix,2022,1M,15-Aug,8/15,competition,0,,,,
201,2,wheat-cc mix,2022,1M,15-Aug,8/15,competition,0,,,,
202,2,oats-cc mix,2022,1M,15-Aug,8/15,competition,13,,,,
203,2,wheat/clover,2022,1M,15-Aug,8/15,competition,0,,,,
204,2,alfalfa/oats,2022,1M,15-Aug,8/15,competition,21,,,,
205,2,alfalfa/orchardgrass,2022,1M,15-Aug,8/15,competition,6,,,,
206,2,ryelage-sorghum sudangrass,2022,1M,15-Aug,8/15,competition,32,,,,
301,3,alfalfa/oats,2022,1M,15-Aug,8/15,competition,30,,,,
302,3,wheat-cc mix,2022,1M,15-Aug,8/15,competition,11,,,,
303,3,alfalfa/orchardgrass,2022,1M,15-Aug,8/15,competition,2,,,,
304,3,ryelage-sorghum sudangrass,2022,1M,15-Aug,8/15,competition,8,,,,
305,3,oats-cc mix,2022,1M,15-Aug,8/15,competition,10,,,,
306,3,wheat/clover,2022,1M,15-Aug,8/15,competition,16,,,,
401,4,ryelage-sorghum sudangrass,2022,1M,15-Aug,8/15,competition,0,,,,
402,4,wheat/clover,2022,1M,15-Aug,8/15,competition,5,,,,
403,4,oats-cc mix,2022,1M,15-Aug,8/15,competition,29,,,,
404,4,alfalfa/orchardgrass,2022,1M,15-Aug,8/15,competition,11,,,,
405,4,wheat-cc mix,2022,1M,15-Aug,8/15,competition,23,,,,
406,4,alfalfa/oats,2022,1M,15-Aug,8/15,competition,1,,,,
101,1,alfalfa/orchardgrass,2023,1M,15-Aug,8/15,ann forage,15,,,,
102,1,ryelage-sorghum sudangrass,2023,1M,15-Aug,8/15,ann forage,53,,,,
103,1,wheat/clover,2023,1M,15-Aug,8/15,ann forage,1,,,,
104,1,wheat-cc mix,2023,1M,15-Aug,8/15,ann forage,1,,,,
105,1,alfalfa/oats,2023,1M,15-Aug,8/15,ann forage,4,,,,
106,1,oats-cc mix,2023,1M,15-Aug,8/15,ann forage,13,,,,
201,2,wheat-cc mix,2023,1M,15-Aug,8/15,ann forage,13,,,,
202,2,oats-cc mix,2023,1M,15-Aug,8/15,ann forage,13,,,,
203,2,wheat/clover,2023,1M,15-Aug,8/15,ann forage,5,,,,
204,2,alfalfa/oats,2023,1M,15-Aug,8/15,ann forage,6,,,,
205,2,alfalfa/orchardgrass,2023,1M,15-Aug,8/15,ann forage,7,,,,
206,2,ryelage-sorghum sudangrass,2023,1M,15-Aug,8/15,ann forage,41,,,,
301,3,alfalfa/oats,2023,1M,15-Aug,8/15,ann forage,6,,,,
302,3,wheat-cc mix,2023,1M,15-Aug,8/15,ann forage,15,,,,
303,3,alfalfa/orchardgrass,2023,1M,15-Aug,8/15,ann forage,24,,,,
304,3,ryelage-sorghum sudangrass,2023,1M,15-Aug,8/15,ann forage,21,,,,
305,3,oats-cc mix,2023,1M,15-Aug,8/15,ann forage,7,,,,
306,3,wheat/clover,2023,1M,15-Aug,8/15,ann forage,4,,,,
401,4,ryelage-sorghum sudangrass,2023,1M,15-Aug,8/15,ann forage,64,,,,
402,4,wheat/clover,2023,1M,15-Aug,8/15,ann forage,7,,,,
403,4,oats-cc mix,2023,1M,15-Aug,8/15,ann forage,4,,,,
404,4,alfalfa/orchardgrass,2023,1M,15-Aug,8/15,ann forage,17,,,,
405,4,wheat-cc mix,2023,1M,15-Aug,8/15,ann forage,11,,,,
406,4,alfalfa/oats,2023,1M,15-Aug,8/15,ann forage,2,,,,
101,1,alfalfa/orchardgrass,2022,1M,15-Sep,9/15,summer ann forage,16,,,,
102,1,ryelage-sorghum sudangrass,2022,1M,15-Sep,9/15,summer ann forage,32,,,,
103,1,wheat/clover,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
104,1,wheat-cc mix,2022,1M,15-Sep,9/15,summer ann forage,20,,,,
105,1,alfalfa/oats,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
106,1,oats-cc mix,2022,1M,15-Sep,9/15,summer ann forage,2,,,,
201,1,wheat-cc mix,2022,1M,15-Sep,9/15,summer ann forage,12,,,,
202,2,alfalfa/oats,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
203,2,wheat/clover,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
204,2,alfalfa/orchardgrass,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
205,2,oats-cc mix,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
206,2,ryelage-sorghum sudangrass,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
301,3,ryelage-sorghum sudangrass,2022,1M,15-Sep,9/15,summer ann forage,64,,,,
302,3,oats-cc mix,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
303,3,wheat-cc mix,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
304,3,alfalfa/oats,2022,1M,15-Sep,9/15,summer ann forage,8,,,,
305,3,wheat/clover,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
306,3,alfalfa/orchardgrass,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
401,4,wheat/clover,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
402,4,alfalfa/orchardgrass,2022,1M,15-Sep,9/15,summer ann forage,40,,,,
403,4,ryelage-sorghum sudangrass,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
404,4,oats-cc mix,2022,1M,15-Sep,9/15,summer ann forage,64,,,,
405,4,alfalfa/oats,2022,1M,15-Sep,9/15,summer ann forage,32,,,,
406,4,wheat-cc mix,2022,1M,15-Sep,9/15,summer ann forage,0,,,,
101,1,alfalfa/orchardgrass,2023,1M,15-Sep,9/15,summer ann forage,3,,,,
102,1,ryelage-sorghum sudangrass,2023,1M,15-Sep,9/15,summer ann forage,11,,,,
103,1,wheat/clover,2023,1M,15-Sep,9/15,summer ann forage,0,,,,
104,1,wheat-cc mix,2023,1M,15-Sep,9/15,summer ann forage,2,,,,
105,1,alfalfa/oats,2023,1M,15-Sep,9/15,summer ann forage,3,,,,
106,1,oats-cc mix,2023,1M,15-Sep,9/15,summer ann forage,6,,,,
201,2,wheat-cc mix,2023,1M,15-Sep,9/15,summer ann forage,2,,,,
202,2,oats-cc mix,2023,1M,15-Sep,9/15,summer ann forage,3,,,,
203,2,wheat/clover,2023,1M,15-Sep,9/15,summer ann forage,1,,,,
204,2,alfalfa/oats,2023,1M,15-Sep,9/15,summer ann forage,0,,,,
205,2,alfalfa/orchardgrass,2023,1M,15-Sep,9/15,summer ann forage,7,,,,
206,2,ryelage-sorghum sudangrass,2023,1M,15-Sep,9/15,summer ann forage,11,,,,
301,3,alfalfa/oats,2023,1M,15-Sep,9/15,summer ann forage,3,,,,
302,3,wheat-cc mix,2023,1M,15-Sep,9/15,summer ann forage,5,,,,
303,3,alfalfa/orchardgrass,2023,1M,15-Sep,9/15,summer ann forage,5,,,,
304,3,ryelage-sorghum sudangrass,2023,1M,15-Sep,9/15,summer ann forage,6,,,,
305,3,oats-cc mix,2023,1M,15-Sep,9/15,summer ann forage,4,,,,
306,3,wheat/clover,2023,1M,15-Sep,9/15,summer ann forage,0,,,,
401,4,ryelage-sorghum sudangrass,2023,1M,15-Sep,9/15,summer ann forage,6,,,,
402,4,wheat/clover,2023,1M,15-Sep,9/15,summer ann forage,0,,,,
403,4,oats-cc mix,2023,1M,15-Sep,9/15,summer ann forage,0,,,,
404,4,alfalfa/orchardgrass,2023,1M,15-Sep,9/15,summer ann forage,0,,,,
405,4,wheat-cc mix,2023,1M,15-Sep,9/15,summer ann forage,4,,,,
406,4,alfalfa/oats,2023,1M,15-Sep,9/15,summer ann forage,0,,,,