plot,block,treatment,count.dates,quadrat,wh.coty,wh.0.2,wh.2.4,wh.4.12,wh.12,weekly.total,c.2,2.12,recruitment,Spring.Rylage,Mid-June,Alfalfa.1,Small.Grains,Forage.2,,,,,cumulative.coty,cumulative.0.2,cumulative,total
101,1,alfalfa/orchardgrass,5/4/23,1M,0,0,0,0,0,0,0,0,0,18,15,16,15,15,,,,,0,0,122,122
101,1,alfalfa/orchardgrass,5/16/23,1M,6,12,0,0,0,18,18,0,18,,,,,,,,,,6,12,,
101,1,alfalfa/orchardgrass,5/22/23,1M,0,7,0,0,0,7,7,0,-11,,,,,,,,,,6,19,,
101,1,alfalfa/orchardgrass,5/30/23,1M,0,4,0,0,0,4,4,0,-3,,,,,,,,,,6,23,,
101,1,alfalfa/orchardgrass,6/5/23,1M,0,17,1,0,0,18,17,1,14,,,,,,,,,,6,40,,
101,1,alfalfa/orchardgrass,6/13/23,1M,0,12,3,0,0,15,12,3,-3,,,,,,,,,,6,52,,
101,1,alfalfa/orchardgrass,6/21/23,1M,0,16,4,0,0,20,16,4,5,,,,,,,,,,6,68,,
101,1,alfalfa/orchardgrass,6/28/23,1M,0,12,4,0,0,16,12,4,-4,,,,,,,,,,6,80,,
101,1,alfalfa/orchardgrass,7/6/23,1M,0,2,9,4,0,15,2,13,-1,,,,,,,,,,6,82,,
101,1,alfalfa/orchardgrass,7/12/23,1M,0,0,15,0,0,15,0,15,0,,,,,,,,,,6,82,,
101,1,alfalfa/orchardgrass,7/18/23,1M,0,1,8,5,0,14,1,13,-1,,,,,,,,,,6,83,,
101,1,alfalfa/orchardgrass,7/25/23,1M,1,10,3,1,0,15,11,4,1,,,,,,,,,,7,93,,
101,1,alfalfa/orchardgrass,7/31/23,1M,1,6,6,2,0,15,7,8,0,,,,,,,,,,8,99,,
101,1,alfalfa/orchardgrass,8/10/23,1M,0,5,8,1,0,14,5,9,-1,,,,,,,,,,8,104,,
101,1,alfalfa/orchardgrass,8/15/23,1M,0,4,10,1,0,15,4,11,1,,,,,,,,,,8,108,,
101,1,alfalfa/orchardgrass,8/22/23,1M,0,3,0,0,0,3,3,0,-12,,,,,,,,,,8,111,,
101,1,alfalfa/orchardgrass,8/31/23,1M,0,2,2,0,0,4,2,2,1,,,,,,,,,,8,113,,
101,1,alfalfa/orchardgrass,9/8/23,1M,0,1,3,0,0,4,1,3,0,,,,,,,,,,8,114,,
101,1,alfalfa/orchardgrass,9/13/23,1M,0,0,3,0,0,3,0,3,-1,,,,,,,,,,8,114,,
101,1,alfalfa/orchardgrass,9/22/23,1M,0,0,3,0,0,3,0,3,0,,,,,,,,,,,,,
101,1,alfalfa/orchardgrass,9/29/23,1M,0,0,5,1,0,6,0,6,3,,,,,,,,,,,,,
102,1,ryelage-sorghum sudangrass,5/4/23,1M,0,0,0,0,0,0,0,0,0,15,0,45,53,58,,,,,0,0,89,89
102,1,ryelage-sorghum sudangrass,5/16/23,1M,7,8,0,0,0,15,15,0,15,,,,,,,,,,7,8,,
102,1,ryelage-sorghum sudangrass,5/22/23,1M,0,0,0,0,0,0,0,0,-15,,,,,,,,,,7,8,,
102,1,ryelage-sorghum sudangrass,5/30/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,7,8,,
102,1,ryelage-sorghum sudangrass,6/5/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,7,8,,
102,1,ryelage-sorghum sudangrass,6/13/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,7,8,,
102,1,ryelage-sorghum sudangrass,6/21/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,7,8,,
102,1,ryelage-sorghum sudangrass,6/28/23,1M,7,38,0,0,0,45,45,0,45,,,,,,,,,,14,46,,
102,1,ryelage-sorghum sudangrass,7/6/23,1M,0,3,19,20,0,42,3,39,-3,,,,,,,,,,14,49,,
102,1,ryelage-sorghum sudangrass,7/12/23,1M,0,10,14,18,0,42,10,32,0,,,,,,,,,,14,59,,
102,1,ryelage-sorghum sudangrass,7/18/23,1M,0,0,7,28,18,53,0,53,11,,,,,,,,,,14,59,,
102,1,ryelage-sorghum sudangrass,7/25/23,1M,0,3,6,37,7,53,3,50,0,,,,,,,,,,14,62,,
102,1,ryelage-sorghum sudangrass,7/31/23,1M,0,0,3,37,13,53,0,53,0,,,,,,,,,,14,62,,
102,1,ryelage-sorghum sudangrass,8/10/23,1M,0,0,6,28,20,54,0,54,1,,,,,,,,,,14,62,,
102,1,ryelage-sorghum sudangrass,8/15/23,1M,0,0,8,29,21,58,0,58,4,,,,,,,,,,14,62,,
102,1,ryelage-sorghum sudangrass,8/22/23,1M,0,0,5,0,0,5,0,5,-53,,,,,,,,,,14,62,,
102,1,ryelage-sorghum sudangrass,8/31/23,1M,1,10,0,0,0,11,11,0,6,,,,,,,,,,15,72,,
102,1,ryelage-sorghum sudangrass,9/8/23,1M,0,2,6,3,0,11,2,9,0,,,,,,,,,,15,74,,
102,1,ryelage-sorghum sudangrass,9/13/23,1M,0,0,0,13,0,13,0,13,2,,,,,,,,,,15,74,,
102,1,ryelage-sorghum sudangrass,9/22/23,1M,0,0,5,6,0,11,0,11,-2,,,,,,,,,,,,,
102,1,ryelage-sorghum sudangrass,9/29/23,1M,0,0,8,2,0,10,0,10,-1,,,,,,,,,,,,,
103,1,wheat/clover,5/4/23,1M,0,0,0,0,0,0,0,0,0,6,0,0,1,3,,,,,0,0,10,10
103,1,wheat/clover,5/16/23,1M,1,5,0,0,0,6,6,0,6,,,,,,,,,,1,5,,
103,1,wheat/clover,5/22/23,1M,0,0,0,0,0,0,0,0,-6,,,,,,,,,,1,5,,
103,1,wheat/clover,5/30/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,,
103,1,wheat/clover,6/5/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,,
103,1,wheat/clover,6/13/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,,
103,1,wheat/clover,6/21/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,,
103,1,wheat/clover,6/28/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,,
103,1,wheat/clover,7/6/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,,
103,1,wheat/clover,7/12/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,5,,
103,1,wheat/clover,7/18/23,1M,0,0,1,0,0,1,0,1,1,,,,,,,,,,1,5,,
103,1,wheat/clover,7/25/23,1M,0,0,1,0,0,1,0,1,0,,,,,,,,,,1,5,,
103,1,wheat/clover,7/31/23,1M,0,4,0,1,0,5,4,1,4,,,,,,,,,,1,9,,
103,1,wheat/clover,8/10/23,1M,0,0,2,3,0,5,0,5,0,,,,,,,,,,1,9,,
103,1,wheat/clover,8/15/23,1M,0,0,2,1,0,3,0,3,-2,,,,,,,,,,1,9,,
103,1,wheat/clover,8/22/23,1M,0,0,2,0,0,2,0,2,-1,,,,,,,,,,1,9,,
103,1,wheat/clover,8/31/23,1M,0,0,1,0,0,1,0,1,-1,,,,,,,,,,1,9,,
103,1,wheat/clover,9/8/23,1M,0,0,2,0,0,2,0,2,1,,,,,,,,,,1,9,,
103,1,wheat/clover,9/13/23,1M,0,0,1,1,0,2,0,2,0,,,,,,,,,,1,9,,
103,1,wheat/clover,9/22/23,1M,0,0,1,0,0,1,0,1,-1,,,,,,,,,,,,,
103,1,wheat/clover,9/29/23,1M,0,0,0,0,0,0,0,0,-1,,,,,,,,,,,,,
104,1,wheat-cc mix,5/4/23,1M,0,0,0,0,0,0,0,0,0,5,0,0,1,0,,,,,0,0,12,12
104,1,wheat-cc mix,5/16/23,1M,5,0,0,0,0,5,5,0,5,,,,,,,,,,5,0,,
104,1,wheat-cc mix,5/22/23,1M,0,0,0,0,0,0,0,0,-5,,,,,,,,,,5,0,,
104,1,wheat-cc mix,5/30/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,0,,
104,1,wheat-cc mix,6/5/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,0,,
104,1,wheat-cc mix,6/13/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,0,,
104,1,wheat-cc mix,6/21/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,0,,
104,1,wheat-cc mix,6/28/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,0,,
104,1,wheat-cc mix,7/6/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,0,,
104,1,wheat-cc mix,7/12/23,1M,0,1,0,0,0,1,1,0,1,,,,,,,,,,5,1,,
104,1,wheat-cc mix,7/18/23,1M,0,1,0,0,0,1,1,0,0,,,,,,,,,,5,2,,
104,1,wheat-cc mix,7/25/23,1M,0,1,0,0,0,1,1,0,0,,,,,,,,,,5,3,,
104,1,wheat-cc mix,7/31/23,1M,0,3,1,0,0,4,3,1,3,,,,,,,,,,5,6,,
104,1,wheat-cc mix,8/10/23,1M,0,0,3,0,0,3,0,3,-1,,,,,,,,,,5,6,,
104,1,wheat-cc mix,8/15/23,1M,0,0,0,0,0,0,0,0,-3,,,,,,,,,,5,6,,
104,1,wheat-cc mix,8/22/23,1M,0,0,1,0,0,1,0,1,1,,,,,,,,,,5,6,,
104,1,wheat-cc mix,8/31/23,1M,0,1,1,1,0,3,1,2,2,,,,,,,,,,5,7,,
104,1,wheat-cc mix,9/8/23,1M,0,0,1,1,0,2,0,2,-1,,,,,,,,,,5,7,,
104,1,wheat-cc mix,9/13/23,1M,0,0,0,2,1,3,0,3,1,,,,,,,,,,5,7,,
104,1,wheat-cc mix,9/22/23,1M,0,0,2,0,0,2,0,2,-1,,,,,,,,,,,,,
104,1,wheat-cc mix,9/29/23,1M,0,0,1,1,0,2,0,2,0,,,,,,,,,,,,,
105,1,alfalfa/oats,5/4/23,1M,0,0,0,0,0,0,0,0,0,5,3,1,4,5,,,,,0,0,34,34
105,1,alfalfa/oats,5/16/23,1M,2,3,0,0,0,5,5,0,5,,,,,,,,,,2,3,,
105,1,alfalfa/oats,5/22/23,1M,0,4,0,0,0,4,4,0,-1,,,,,,,,,,2,7,,
105,1,alfalfa/oats,5/30/23,1M,0,6,0,0,0,6,6,0,2,,,,,,,,,,2,13,,
105,1,alfalfa/oats,6/5/23,1M,0,2,0,0,0,2,2,0,-4,,,,,,,,,,2,15,,
105,1,alfalfa/oats,6/13/23,1M,0,3,0,0,0,3,3,0,1,,,,,,,,,,2,18,,
105,1,alfalfa/oats,6/21/23,1M,0,2,0,0,0,2,2,0,-1,,,,,,,,,,2,20,,
105,1,alfalfa/oats,6/28/23,1M,0,1,0,0,0,1,1,0,-1,,,,,,,,,,2,21,,
105,1,alfalfa/oats,7/6/23,1M,0,0,1,0,0,1,0,1,0,,,,,,,,,,2,21,,
105,1,alfalfa/oats,7/12/23,1M,0,1,2,0,0,3,1,2,2,,,,,,,,,,2,22,,
105,1,alfalfa/oats,7/18/23,1M,0,3,1,0,0,4,3,1,1,,,,,,,,,,2,25,,
105,1,alfalfa/oats,7/25/23,1M,0,2,2,0,0,4,2,2,0,,,,,,,,,,2,27,,
105,1,alfalfa/oats,7/31/23,1M,0,3,3,0,0,6,3,3,2,,,,,,,,,,2,30,,
105,1,alfalfa/oats,8/10/23,1M,0,0,5,0,0,5,0,5,-1,,,,,,,,,,2,30,,
105,1,alfalfa/oats,8/15/23,1M,0,0,5,0,0,5,0,5,0,,,,,,,,,,2,30,,
105,1,alfalfa/oats,8/22/23,1M,0,1,2,0,0,3,1,2,-2,,,,,,,,,,2,31,,
105,1,alfalfa/oats,8/31/23,1M,0,1,2,0,0,3,1,2,0,,,,,,,,,,2,32,,
105,1,alfalfa/oats,9/8/23,1M,0,0,3,0,0,3,0,3,0,,,,,,,,,,2,32,,
105,1,alfalfa/oats,9/13/23,1M,0,0,0,5,0,5,0,5,2,,,,,,,,,,2,32,,
105,1,alfalfa/oats,9/22/23,1M,0,0,3,0,0,3,0,3,-2,,,,,,,,,,,,,
105,1,alfalfa/oats,9/29/23,1M,0,1,1,0,0,2,1,1,-1,,,,,,,,,,,,,
106,1,oats-cc mix,5/4/23,1M,0,0,0,0,0,0,0,0,0,0,0,9,13,6,,,,,0,0,55,55
106,1,oats-cc mix,5/16/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,
106,1,oats-cc mix,5/22/23,1M,0,6,0,0,0,6,6,0,6,,,,,,,,,,0,6,,
106,1,oats-cc mix,5/30/23,1M,0,4,0,0,0,4,4,0,-2,,,,,,,,,,0,10,,
106,1,oats-cc mix,6/5/23,1M,0,0,0,0,0,0,0,0,-4,,,,,,,,,,0,10,,
106,1,oats-cc mix,6/13/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,10,,
106,1,oats-cc mix,6/21/23,1M,0,3,0,0,0,3,3,0,3,,,,,,,,,,0,13,,
106,1,oats-cc mix,6/28/23,1M,2,7,0,0,0,9,9,0,6,,,,,,,,,,2,20,,
106,1,oats-cc mix,7/6/23,1M,0,0,0,1,0,1,0,1,-8,,,,,,,,,,2,20,,
106,1,oats-cc mix,7/12/23,1M,0,9,0,0,0,9,9,0,8,,,,,,,,,,2,29,,
106,1,oats-cc mix,7/18/23,1M,0,4,4,1,0,9,4,5,0,,,,,,,,,,2,33,,
106,1,oats-cc mix,7/25/23,1M,1,9,3,0,0,13,10,3,4,,,,,,,,,,3,42,,
106,1,oats-cc mix,7/31/23,1M,0,10,3,0,0,13,10,3,0,,,,,,,,,,3,52,,
106,1,oats-cc mix,8/10/23,1M,0,0,9,3,0,12,0,12,-1,,,,,,,,,,3,52,,
106,1,oats-cc mix,8/15/23,1M,0,0,6,0,0,6,0,6,-6,,,,,,,,,,3,52,,
106,1,oats-cc mix,8/22/23,1M,0,0,6,0,0,6,0,6,0,,,,,,,,,,3,52,,
106,1,oats-cc mix,8/31/23,1M,0,0,6,0,0,6,0,6,0,,,,,,,,,,3,52,,
106,1,oats-cc mix,9/8/23,1M,0,0,3,3,0,6,0,6,0,,,,,,,,,,3,52,,
106,1,oats-cc mix,9/13/23,1M,0,0,0,10,0,10,0,10,4,,,,,,,,,,3,52,,
106,1,oats-cc mix,9/22/23,1M,0,2,4,0,0,6,2,4,-4,,,,,,,,,,,,,
106,1,oats-cc mix,9/29/23,1M,0,1,3,8,0,12,1,11,6,,,,,,,,,,,,,
201,2,wheat-cc mix,5/4/23,1M,0,0,0,0,0,0,0,0,0,0,2,0,13,10,,,,,0,0,20,20
201,2,wheat-cc mix,5/16/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,
201,2,wheat-cc mix,5/22/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,
201,2,wheat-cc mix,5/30/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,
201,2,wheat-cc mix,6/5/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,,
201,2,wheat-cc mix,6/13/23,1M,0,2,0,0,0,2,2,0,2,,,,,,,,,,0,2,,
201,2,wheat-cc mix,6/21/23,1M,0,0,0,0,0,0,0,0,-2,,,,,,,,,,0,2,,
201,2,wheat-cc mix,6/28/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2,,
201,2,wheat-cc mix,7/6/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2,,
201,2,wheat-cc mix,7/12/23,1M,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,2,,
201,2,wheat-cc mix,7/18/23,1M,5,4,1,0,0,10,9,1,10,,,,,,,,,,5,6,,
201,2,wheat-cc mix,7/25/23,1M,0,9,4,0,0,13,9,4,3,,,,,,,,,,5,15,,
201,2,wheat-cc mix,7/31/23,1M,0,0,4,0,0,4,0,4,-9,,,,,,,,,,5,15,,
201,2,wheat-cc mix,8/10/23,1M,0,0,5,3,0,8,0,8,4,,,,,,,,,,5,15,,
201,2,wheat-cc mix,8/15/23,1M,0,0,7,3,0,10,0,10,2,,,,,,,,,,5,15,,
201,2,wheat-cc mix,8/22/23,1M,0,0,4,1,0,5,0,5,-5,,,,,,,,,,5,15,,
201,2,wheat-cc mix,8/31/23,1M,0,0,0,3,0,3,0,3,-2,,,,,,,,,,5,15,,
201,2,wheat-cc mix,9/8/23,1M,0,0,0,0,2,2,0,2,-1,,,,,,,,,,5,15,,
201,2,wheat-cc mix,9/13/23,1M,0,0,1,0,2,3,0,3,1,,,,,,,,,,5,15,,
201,2,wheat-cc mix,9/22/23,1M,0,0,1,0,1,2,0,2,-1,,,,,,,,,,,,,
201,2,wheat-cc mix,9/29/23,1M,0,0,0,1,1,2,0,2,0,,,,,,,,,,,,,
202,2,oats-cc mix,5/4/23,1M,0,0,0,0,0,0,0,0,0,2,6,5,13,3,,,,,0,0,50,50
202,2,oats-cc mix,5/16/23,1M,2,0,0,0,0,2,2,0,2,,,,,,,,,,2,0,,
202,2,oats-cc mix,5/22/23,1M,0,6,0,0,0,6,6,0,4,,,,,,,,,,2,6,,
202,2,oats-cc mix,5/30/23,1M,0,3,0,0,0,3,3,0,-3,,,,,,,,,,2,9,,
202,2,oats-cc mix,6/5/23,1M,0,7,0,0,0,7,7,0,4,,,,,,,,,,2,16,,
202,2,oats-cc mix,6/13/23,1M,0,6,0,0,0,6,6,0,-1,,,,,,,,,,2,22,,
202,2,oats-cc mix,6/21/23,1M,0,6,0,0,0,6,6,0,0,,,,,,,,,,2,28,,
202,2,oats-cc mix,6/28/23,1M,0,2,2,1,0,5,2,3,-1,,,,,,,,,,2,30,,
202,2,oats-cc mix,7/6/23,1M,0,0,5,2,0,7,0,7,2,,,,,,,,,,2,30,,
202,2,oats-cc mix,7/12/23,1M,0,1,5,2,0,8,1,7,1,,,,,,,,,,2,31,,
202,2,oats-cc mix,7/18/23,1M,0,4,3,6,0,13,4,9,5,,,,,,,,,,2,35,,
202,2,oats-cc mix,7/25/23,1M,0,3,8,2,0,13,3,10,0,,,,,,,,,,2,38,,
202,2,oats-cc mix,7/31/23,1M,0,7,4,2,0,13,7,6,0,,,,,,,,,,2,45,,
202,2,oats-cc mix,8/10/23,1M,0,2,13,0,0,15,2,13,2,,,,,,,,,,2,47,,
202,2,oats-cc mix,8/15/23,1M,0,0,3,0,0,3,0,3,-12,,,,,,,,,,2,47,,
202,2,oats-cc mix,8/22/23,1M,0,1,0,0,0,1,1,0,-2,,,,,,,,,,2,48,,
202,2,oats-cc mix,8/31/23,1M,0,0,1,0,0,1,0,1,0,,,,,,,,,,2,48,,
202,2,oats-cc mix,9/8/23,1M,0,0,0,2,0,2,0,2,1,,,,,,,,,,2,48,,
202,2,oats-cc mix,9/13/23,1M,0,0,0,1,0,1,0,1,-1,,,,,,,,,,2,48,,
202,2,oats-cc mix,9/22/23,1M,0,0,1,2,0,3,0,3,2,,,,,,,,,,,,,
202,2,oats-cc mix,9/29/23,1M,0,1,0,2,0,3,1,2,0,,,,,,,,,,,,,
