plot,block,treatment,count.dates,year,quadrat,wh.coty,wh.0.2,wh.2.4,wh.4.12,wh.12,weekly.total,c.2,2.12,recruitment,Spring.Ryelage,Mid-June,Alfalfa.1,Small.Grains,Forage.2
101,1,alfalfa/orchardgrass,5/23/22,2022,1M,,,,,,15,,,15,15,40,28,28,16
101,1,alfalfa/orchardgrass,6/1/22,2022,1M,16,108,20,0,0,144,124,20,129,,,,,
101,1,alfalfa/orchardgrass,6/9/22,2022,1M,0,112,32,0,0,144,112,32,0,,,,,
101,1,alfalfa/orchardgrass,6/17/22,2022,1M,0,32,4,4,0,40,32,8,-104,,,,,
101,1,alfalfa/orchardgrass,6/23/22,2022,1M,0,20,0,4,0,24,20,4,24,,,,,
101,1,alfalfa/orchardgrass,6/30/22,2022,1M,0,16,0,8,0,24,16,8,0,,,,,
101,1,alfalfa/orchardgrass,7/8/22,2022,1M,0,4,16,0,4,24,4,20,0,,,,,
101,1,alfalfa/orchardgrass,7/11/22,2022,1M,0,0,24,4,0,28,0,28,28,,,,,
101,1,alfalfa/orchardgrass,8/9/22,2022,1M,0,56,60,0,0,116,56,60,88,,,,,
101,1,alfalfa/orchardgrass,9/8/22,2022,1M,0,0,4,0,12,16,0,16,-100,,,,,
101,1,alfalfa/orchardgrass,10/12/22,2022,1M,0,0,8,0,0,8,0,8,-8,,,,,
102,1,ryelage-sorghum sudangrass ,5/23/22,2022,1M,,,,,,0,,,0,0,60,16,16,32
102,1,ryelage-sorghum sudangrass ,6/1/22,2022,1M,20,20,0,0,0,40,40,0,40,,,,,
102,1,ryelage-sorghum sudangrass ,6/9/22,2022,1M,0,68,0,0,0,68,68,0,28,,,,,
102,1,ryelage-sorghum sudangrass ,6/17/22,2022,1M,4,24,32,0,0,60,28,32,-8,,,,,
102,1,ryelage-sorghum sudangrass ,6/23/22,2022,1M,0,24,64,8,0,96,24,72,96,,,,,
102,1,ryelage-sorghum sudangrass ,6/30/22,2022,1M,0,40,4,0,0,44,40,4,-52,,,,,
102,1,ryelage-sorghum sudangrass ,7/8/22,2022,1M,0,8,24,0,0,32,8,24,-12,,,,,
102,1,ryelage-sorghum sudangrass ,7/11/22,2022,1M,0,16,0,0,0,16,16,0,16,,,,,
102,1,ryelage-sorghum sudangrass ,8/9/22,2022,1M,0,8,40,8,0,56,8,48,40,,,,,
102,1,ryelage-sorghum sudangrass ,9/8/22,2022,1M,0,0,16,16,0,32,0,32,-24,,,,,
102,1,ryelage-sorghum sudangrass ,10/12/22,2022,1M,0,0,0,0,0,0,0,0,-32,,,,,
103,1,wheat/clover,5/23/22,2022,1M,,,,,,6,,,6,6,4,0,0,0
103,1,wheat/clover,6/1/22,2022,1M,12,0,0,0,0,12,12,0,6,,,,,
103,1,wheat/clover,6/9/22,2022,1M,0,0,0,0,0,0,0,0,-12,,,,,
103,1,wheat/clover,6/17/22,2022,1M,4,0,0,0,0,4,4,0,4,,,,,
103,1,wheat/clover,6/23/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,6/30/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,7/8/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,7/11/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,8/9/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,9/8/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
103,1,wheat/clover,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
104,1,wheat-cc mix,5/23/22,2022,1M,,,,,,155.5,,,155.5,155.5,12,16,16,20
104,1,wheat-cc mix,6/1/22,2022,1M,80,44,0,0,0,124,124,0,-31.5,,,,,
104,1,wheat-cc mix,6/9/22,2022,1M,136,16,0,0,0,152,152,0,28,,,,,
104,1,wheat-cc mix,6/17/22,2022,1M,4,8,0,0,0,12,12,0,-140,,,,,
104,1,wheat-cc mix,6/23/22,2022,1M,8,0,0,0,0,8,8,0,8,,,,,
104,1,wheat-cc mix,6/30/22,2022,1M,0,0,0,0,0,0,0,0,-8,,,,,
104,1,wheat-cc mix,7/8/22,2022,1M,0,8,4,0,0,12,8,4,12,,,,,
104,1,wheat-cc mix,7/11/22,2022,1M,4,12,0,0,0,16,16,0,16,,,,,
104,1,wheat-cc mix,8/9/22,2022,1M,0,0,8,8,0,16,0,16,0,,,,,
104,1,wheat-cc mix,9/8/22,2022,1M,20,0,0,0,0,20,20,0,4,,,,,
104,1,wheat-cc mix,10/12/22,2022,1M,0,0,0,0,0,0,0,0,-20,,,,,
105,1,alfalfa/oats ,5/23/22,2022,1M,,,,,,18,,,18,18,36,36,36,0
105,1,alfalfa/oats ,6/1/22,2022,1M,0,36,16,4,0,56,36,20,38,,,,,
105,1,alfalfa/oats ,6/9/22,2022,1M,0,24,12,4,0,40,24,16,-16,,,,,
105,1,alfalfa/oats ,6/17/22,2022,1M,4,28,4,0,0,36,32,4,-4,,,,,
105,1,alfalfa/oats ,6/23/22,2022,1M,0,8,24,12,0,44,8,36,44,,,,,
105,1,alfalfa/oats ,6/30/22,2022,1M,0,8,8,0,0,16,8,8,-28,,,,,
105,1,alfalfa/oats ,7/8/22,2022,1M,0,8,16,0,0,24,8,16,8,,,,,
105,1,alfalfa/oats ,7/11/22,2022,1M,0,8,24,4,0,36,8,28,36,,,,,
105,1,alfalfa/oats ,8/9/22,2022,1M,0,8,8,8,0,24,8,16,-12,,,,,
105,1,alfalfa/oats ,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-24,,,,,
105,1,alfalfa/oats ,10/12/22,2022,1M,0,0,8,0,0,8,0,8,8,,,,,
106,1,oats-cc mix,5/23/22,2022,1M,,,,,,1,,,1,1,4,4,4,2
106,1,oats-cc mix,6/1/22,2022,1M,0,4,4,0,0,8,4,4,7,,,,,
106,1,oats-cc mix,6/9/22,2022,1M,4,8,0,0,0,12,12,0,4,,,,,
106,1,oats-cc mix,6/17/22,2022,1M,0,4,0,0,0,4,4,0,-8,,,,,
106,1,oats-cc mix,6/23/22,2022,1M,12,0,0,0,0,12,12,0,12,,,,,
106,1,oats-cc mix,6/30/22,2022,1M,4,0,0,0,0,4,4,0,-8,,,,,
106,1,oats-cc mix,7/8/22,2022,1M,4,0,0,0,0,4,4,0,0,,,,,
106,1,oats-cc mix,7/11/22,2022,1M,0,4,0,0,0,4,4,0,4,,,,,
106,1,oats-cc mix,8/9/22,2022,1M,0,0,0,0,0,0,0,0,-4,,,,,
106,1,oats-cc mix,9/8/22,2022,1M,2,0,0,0,0,2,2,0,2,,,,,
106,1,oats-cc mix,10/12/22,2022,1M,0,0,0,0,0,0,0,0,-2,,,,,
201,1,wheat-cc mix,5/23/22,2022,1M,,,,,,1,,1,1,1,0,0,0,12
201,2,wheat-cc mix,6/1/22,2022,1M,0,12,0,0,0,12,12,0,11,,,,,
201,2,wheat-cc mix,6/9/22,2022,1M,0,0,0,0,0,0,0,0,-12,,,,,
201,2,wheat-cc mix,6/17/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
201,2,wheat-cc mix,6/23/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
201,2,wheat-cc mix,6/30/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
201,2,wheat-cc mix,7/8/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
201,2,wheat-cc mix,7/11/22,2022,1M,0,0,0,4,0,4,0,4,4,,,,,
201,2,wheat-cc mix,8/9/22,2022,1M,0,0,0,0,0,0,0,0,-4,,,,,
201,2,wheat-cc mix,9/8/22,2022,1M,0,0,0,12,0,12,0,12,12,,,,,
201,2,wheat-cc mix,10/12/22,2022,1M,0,0,0,0,0,0,0,0,-12,,,,,
202,2,alfalfa/oats ,5/23/22,2022,1M,,,,,,5.5,,,5.5,5.5,16,20,20,0
202,2,alfalfa/oats ,6/1/22,2022,1M,8,24,20,0,0,52,32,20,46.5,,,,,
202,2,alfalfa/oats ,6/9/22,2022,1M,0,36,12,0,0,48,36,12,-4,,,,,
202,2,alfalfa/oats ,6/17/22,2022,1M,0,8,4,4,0,16,8,8,-32,,,,,
202,2,alfalfa/oats ,6/23/22,2022,1M,0,16,8,12,0,36,16,20,36,,,,,
202,2,alfalfa/oats ,6/30/22,2022,1M,0,12,4,8,0,24,12,12,-12,,,,,
202,2,alfalfa/oats ,7/8/22,2022,1M,8,12,4,0,0,24,20,4,0,,,,,
202,2,alfalfa/oats ,7/11/22,2022,1M,0,4,16,0,0,20,4,16,20,,,,,
202,2,alfalfa/oats ,8/9/22,2022,1M,0,4,20,20,8,52,4,48,32,,,,,
202,2,alfalfa/oats ,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-52,,,,,
202,2,alfalfa/oats ,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
203,2,wheat/clover,5/23/22,2022,1M,,,,,,3.5,,,3.5,3.5,16,16,16,0
203,2,wheat/clover,6/1/22,2022,1M,0,24,8,16,0,48,24,24,44.5,,,,,
203,2,wheat/clover,6/9/22,2022,1M,4,48,0,0,0,52,52,0,4,,,,,
203,2,wheat/clover,6/17/22,2022,1M,0,12,0,4,0,16,12,4,-36,,,,,
203,2,wheat/clover,6/23/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
203,2,wheat/clover,6/30/22,2022,1M,0,0,0,4,0,4,0,4,4,,,,,
203,2,wheat/clover,7/8/22,2022,1M,0,0,0,0,0,0,0,0,-4,,,,,
203,2,wheat/clover,7/11/22,2022,1M,0,0,16,0,0,16,0,16,16,,,,,
203,2,wheat/clover,8/9/22,2022,1M,0,0,0,0,0,0,0,0,-16,,,,,
203,2,wheat/clover,9/8/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
203,2,wheat/clover,10/12/22,2022,1M,0,8,0,0,0,8,8,0,8,,,,,
204,2,alfalfa/orchardgrass,5/23/22,2022,1M,,,,,,5.5,,,5.5,5.5,128,92,92,0
204,2,alfalfa/orchardgrass,6/1/22,2022,1M,0,72,12,4,0,88,72,16,82.5,,,,,
204,2,alfalfa/orchardgrass,6/9/22,2022,1M,0,52,32,1,0,85,52,33,-3,,,,,
204,2,alfalfa/orchardgrass,6/17/22,2022,1M,20,64,36,8,0,128,84,44,43,,,,,
204,2,alfalfa/orchardgrass,6/23/22,2022,1M,0,24,0,32,8,64,24,40,64,,,,,
204,2,alfalfa/orchardgrass,6/30/22,2022,1M,0,0,16,28,16,60,0,60,-4,,,,,
204,2,alfalfa/orchardgrass,7/8/22,2022,1M,0,0,20,36,8,64,0,64,4,,,,,
204,2,alfalfa/orchardgrass,7/11/22,2022,1M,0,24,20,32,16,92,24,68,92,,,,,
204,2,alfalfa/orchardgrass,8/9/22,2022,1M,0,44,40,0,0,84,44,40,-8,,,,,
204,2,alfalfa/orchardgrass,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-84,,,,,
204,2,alfalfa/orchardgrass,10/12/22,2022,1M,0,0,4,0,0,4,0,4,4,,,,,
205,2,oats-cc mix,5/23/22,2022,1M,,,,,,4,,,4,4,4,8,8,0
205,2,oats-cc mix,6/1/22,2022,1M,0,8,0,0,0,8,8,0,4,,,,,
205,2,oats-cc mix,6/9/22,2022,1M,0,4,8,0,0,12,4,8,4,,,,,
205,2,oats-cc mix,6/17/22,2022,1M,0,4,0,0,0,4,4,0,-8,,,,,
205,2,oats-cc mix,6/23/22,2022,1M,0,8,0,0,0,8,8,0,8,,,,,
205,2,oats-cc mix,6/30/22,2022,1M,0,0,4,0,0,4,0,4,-4,,,,,
205,2,oats-cc mix,7/8/22,2022,1M,0,4,4,0,0,8,4,4,4,,,,,
205,2,oats-cc mix,7/11/22,2022,1M,0,8,0,0,0,8,8,0,8,,,,,
205,2,oats-cc mix,8/9/22,2022,1M,0,12,12,0,0,24,12,12,16,,,,,
205,2,oats-cc mix,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-24,,,,,
205,2,oats-cc mix,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
206,2,ryelage-sorghum sudangrass ,5/23/22,2022,1M,,,,,,1,,,1,1,272,8,8,0
206,2,ryelage-sorghum sudangrass ,6/1/22,2022,1M,108,128,0,0,0,236,236,0,236,,,,,
206,2,ryelage-sorghum sudangrass ,6/9/22,2022,1M,12,388,4,0,0,404,400,4,168,,,,,
206,2,ryelage-sorghum sudangrass ,6/17/22,2022,1M,0,244,28,0,0,272,244,28,-132,,,,,
206,2,ryelage-sorghum sudangrass ,6/23/22,2022,1M,0,40,188,28,0,256,40,216,256,,,,,
206,2,ryelage-sorghum sudangrass ,6/30/22,2022,1M,0,20,72,8,0,100,20,80,-156,,,,,
206,2,ryelage-sorghum sudangrass ,7/8/22,2022,1M,0,4,12,0,0,16,4,12,-84,,,,,
206,2,ryelage-sorghum sudangrass ,7/11/22,2022,1M,8,0,0,0,0,8,8,0,8,,,,,
206,2,ryelage-sorghum sudangrass ,8/9/22,2022,1M,0,4,124,0,0,128,4,124,120,,,,,
206,2,ryelage-sorghum sudangrass ,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-128,,,,,
206,2,ryelage-sorghum sudangrass ,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
301,3,ryelage-sorghum sudangrass ,5/23/22,2022,1M,,,,,,1,,,1,1,192,208,208,64
301,3,ryelage-sorghum sudangrass ,6/1/22,2022,1M,52,56,0,0,0,108,108,0,107,,,,,
301,3,ryelage-sorghum sudangrass ,6/9/22,2022,1M,48,208,0,0,0,256,256,0,148,,,,,
301,3,ryelage-sorghum sudangrass ,6/17/22,2022,1M,8,184,0,0,0,192,192,0,-64,,,,,
301,3,ryelage-sorghum sudangrass ,6/23/22,2022,1M,4,192,0,0,0,196,196,0,196,,,,,
301,3,ryelage-sorghum sudangrass ,6/30/22,2022,1M,4,184,0,0,0,188,188,0,-8,,,,,
301,3,ryelage-sorghum sudangrass ,7/8/22,2022,1M,0,184,24,0,0,208,184,24,20,,,,,
301,3,ryelage-sorghum sudangrass ,7/11/22,2022,1M,0,164,32,12,0,208,164,44,208,,,,,
301,3,ryelage-sorghum sudangrass ,8/9/22,2022,1M,0,4,100,16,0,120,4,116,-88,,,,,
301,3,ryelage-sorghum sudangrass ,9/8/22,2022,1M,0,56,0,8,0,64,56,8,-56,,,,,
301,3,ryelage-sorghum sudangrass ,10/12/22,2022,1M,0,4,16,0,0,20,4,16,-44,,,,,
302,3,oats-cc mix,5/23/22,2022,1M,,,,,,15.5,,,15.5,15.5,40,20,20,0
302,3,oats-cc mix,6/1/22,2022,1M,0,36,0,0,0,36,36,0,20.5,,,,,
302,3,oats-cc mix,6/9/22,2022,1M,0,48,0,0,0,48,48,0,12,,,,,
302,3,oats-cc mix,6/17/22,2022,1M,0,40,0,0,0,40,40,0,-8,,,,,
302,3,oats-cc mix,6/23/22,2022,1M,0,20,0,0,0,20,20,0,20,,,,,
302,3,oats-cc mix,6/30/22,2022,1M,0,8,0,0,0,8,8,0,-12,,,,,
302,3,oats-cc mix,7/8/22,2022,1M,0,4,0,0,0,4,4,0,-4,,,,,
302,3,oats-cc mix,7/11/22,2022,1M,4,16,0,0,0,20,20,0,20,,,,,
302,3,oats-cc mix,8/9/22,2022,1M,0,28,16,0,0,44,28,16,24,,,,,
302,3,oats-cc mix,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-44,,,,,
302,3,oats-cc mix,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
303,3,wheat-cc mix,5/23/22,2022,1M,,,,,,18.5,,,18.5,18.5,0,12,12,0
303,3,wheat-cc mix,6/1/22,2022,1M,4,8,0,0,0,12,12,0,-6.5,,,,,
303,3,wheat-cc mix,6/9/22,2022,1M,8,0,0,0,0,8,8,0,-4,,,,,
303,3,wheat-cc mix,6/17/22,2022,1M,0,0,0,0,0,0,0,0,-8,,,,,
303,3,wheat-cc mix,6/23/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
303,3,wheat-cc mix,6/30/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
303,3,wheat-cc mix,7/8/22,2022,1M,4,4,0,0,0,8,8,0,8,,,,,
303,3,wheat-cc mix,7/11/22,2022,1M,0,12,0,0,0,12,12,0,12,,,,,
303,3,wheat-cc mix,8/9/22,2022,1M,0,4,4,0,0,8,4,4,-4,,,,,
303,3,wheat-cc mix,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-8,,,,,
303,3,wheat-cc mix,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
304,3,alfalfa/oats ,5/23/22,2022,1M,,,,,,10.5,,,10.5,10.5,44,40,40,8
304,3,alfalfa/oats ,6/1/22,2022,1M,0,24,0,0,0,24,24,0,13.5,,,,,
304,3,alfalfa/oats ,6/9/22,2022,1M,0,32,0,0,0,32,32,0,8,,,,,
304,3,alfalfa/oats ,6/17/22,2022,1M,4,36,4,0,0,44,40,4,12,,,,,
304,3,alfalfa/oats ,6/23/22,2022,1M,0,28,8,0,0,36,28,8,36,,,,,
304,3,alfalfa/oats ,6/30/22,2022,1M,0,16,8,0,0,24,16,8,-12,,,,,
304,3,alfalfa/oats ,7/8/22,2022,1M,0,16,0,0,0,16,16,0,-8,,,,,
304,3,alfalfa/oats ,7/11/22,2022,1M,8,32,0,0,0,40,40,0,40,,,,,
304,3,alfalfa/oats ,8/9/22,2022,1M,0,8,16,8,0,32,8,24,-8,,,,,
304,3,alfalfa/oats ,9/8/22,2022,1M,0,0,4,0,4,8,0,8,-24,,,,,
304,3,alfalfa/oats ,10/12/22,2022,1M,0,0,0,0,0,0,0,0,-8,,,,,
305,3,wheat/clover,5/23/22,2022,1M,,,,,,4.5,,,4.5,4.5,28,28,28,0
305,3,wheat/clover,6/1/22,2022,1M,4,24,12,0,0,40,28,12,35.5,,,,,
305,3,wheat/clover,6/9/22,2022,1M,0,20,8,8,0,36,20,16,-4,,,,,
305,3,wheat/clover,6/17/22,2022,1M,0,12,0,16,0,28,12,16,-8,,,,,
305,3,wheat/clover,6/23/22,2022,1M,0,12,0,12,4,28,12,16,28,,,,,
305,3,wheat/clover,6/30/22,2022,1M,0,0,4,8,8,20,0,20,-8,,,,,
305,3,wheat/clover,7/8/22,2022,1M,0,0,0,16,4,20,0,20,0,,,,,
305,3,wheat/clover,7/11/22,2022,1M,0,0,8,12,8,28,0,28,28,,,,,
305,3,wheat/clover,8/9/22,2022,1M,0,0,16,4,20,40,0,40,12,,,,,
305,3,wheat/clover,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-40,,,,,
305,3,wheat/clover,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
306,3,alfalfa/orchardgrass,5/23/22,2022,1M,,,,,,8.5,,,8.5,8.5,52,44,44,0
306,3,alfalfa/orchardgrass,6/1/22,2022,1M,0,8,12,4,0,24,8,16,15.5,,,,,
306,3,alfalfa/orchardgrass,6/9/22,2022,1M,0,40,20,12,0,72,40,32,48,,,,,
306,3,alfalfa/orchardgrass,6/17/22,2022,1M,0,24,8,20,0,52,24,28,-20,,,,,
306,3,alfalfa/orchardgrass,6/23/22,2022,1M,0,24,12,8,16,60,24,36,60,,,,,
306,3,alfalfa/orchardgrass,6/30/22,2022,1M,0,8,16,24,24,72,8,64,12,,,,,
306,3,alfalfa/orchardgrass,7/8/22,2022,1M,0,8,20,4,20,52,8,44,-20,,,,,
306,3,alfalfa/orchardgrass,7/11/22,2022,1M,0,0,16,8,20,44,0,44,44,,,,,
306,3,alfalfa/orchardgrass,8/9/22,2022,1M,0,0,60,4,0,64,0,64,20,,,,,
306,3,alfalfa/orchardgrass,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-64,,,,,
306,3,alfalfa/orchardgrass,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
401,4,wheat/clover,5/23/22,2022,1M,,,,,,4.5,,,4.5,4.5,48,36,36,0
401,4,wheat/clover,6/1/22,2022,1M,4,8,0,0,0,12,12,0,7.5,,,,,
401,4,wheat/clover,6/9/22,2022,1M,0,24,0,0,0,24,24,0,12,,,,,
401,4,wheat/clover,6/17/22,2022,1M,0,48,0,0,0,48,48,0,24,,,,,
401,4,wheat/clover,6/23/22,2022,1M,0,32,8,0,0,40,32,8,40,,,,,
401,4,wheat/clover,6/30/22,2022,1M,0,24,12,0,0,36,24,12,-4,,,,,
401,4,wheat/clover,7/8/22,2022,1M,0,24,12,0,0,36,24,12,0,,,,,
401,4,wheat/clover,7/11/22,2022,1M,0,24,8,4,0,36,24,12,36,,,,,
401,4,wheat/clover,8/9/22,2022,1M,0,0,0,0,0,0,0,0,-36,,,,,
401,4,wheat/clover,9/8/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
401,4,wheat/clover,10/12/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
402,4,alfalfa/orchardgrass,5/23/22,2022,1M,,,,,,7.5,,,7.5,7.5,52,52,52,40
402,4,alfalfa/orchardgrass,6/1/22,2022,1M,0,52,0,0,0,52,52,0,44.5,,,,,
402,4,alfalfa/orchardgrass,6/9/22,2022,1M,8,40,16,4,0,68,48,20,16,,,,,
402,4,alfalfa/orchardgrass,6/17/22,2022,1M,0,12,20,20,0,52,12,40,-16,,,,,
402,4,alfalfa/orchardgrass,6/23/22,2022,1M,0,27,20,4,4,55,27,28,55,,,,,
402,4,alfalfa/orchardgrass,6/30/22,2022,1M,0,16,0,24,8,48,16,32,-7,,,,,
402,4,alfalfa/orchardgrass,7/8/22,2022,1M,0,12,0,16,12,40,12,28,-8,,,,,
402,4,alfalfa/orchardgrass,7/11/22,2022,1M,0,0,8,24,20,52,0,52,52,,,,,
402,4,alfalfa/orchardgrass,8/9/22,2022,1M,0,0,20,0,0,20,0,20,-32,,,,,
402,4,alfalfa/orchardgrass,9/8/22,2022,1M,0,0,40,0,0,40,0,40,20,,,,,
402,4,alfalfa/orchardgrass,10/12/22,2022,1M,0,0,0,0,4,4,0,4,-36,,,,,
403,4,ryelage-sorghum sudangrass ,5/23/22,2022,1M,,,,,,1.5,,,1.5,1.5,84,0,0,0
403,4,ryelage-sorghum sudangrass ,6/1/22,2022,1M,20,44,0,0,0,64,64,0,62.5,,,,,
403,4,ryelage-sorghum sudangrass ,6/9/22,2022,1M,8,284,0,0,0,292,292,0,228,,,,,
403,4,ryelage-sorghum sudangrass ,6/17/22,2022,1M,0,48,36,0,0,84,48,36,-208,,,,,
403,4,ryelage-sorghum sudangrass ,6/23/22,2022,1M,4,12,0,16,0,32,16,16,32,,,,,
403,4,ryelage-sorghum sudangrass ,6/30/22,2022,1M,0,72,16,0,0,88,72,16,56,,,,,
403,4,ryelage-sorghum sudangrass ,7/8/22,2022,1M,0,8,0,16,0,24,8,16,-64,,,,,
403,4,ryelage-sorghum sudangrass ,7/11/22,2022,1M,0,0,0,0,0,0,0,0,0,,,,,
403,4,ryelage-sorghum sudangrass ,8/9/22,2022,1M,0,8,96,12,0,116,8,108,116,,,,,
403,4,ryelage-sorghum sudangrass ,9/8/22,2022,1M,0,0,0,0,0,0,0,0,-116,,,,,
403,4,ryelage-sorghum sudangrass ,10/12/22,2022,1M,0,0,8,0,0,8,0,8,8,,,,,
404,4,oats-cc mix,5/23/22,2022,1M,,,,,,12.5,,,12.5,12.5,88,68,68,64
404,4,oats-cc mix,6/1/22,2022,1M,0,72,8,0,0,80,72,8,67.5,,,,,
404,4,oats-cc mix,6/9/22,2022,1M,0,72,0,0,0,72,72,0,-8,,,,,
404,4,oats-cc mix,6/17/22,2022,1M,20,68,0,0,0,88,88,0,16,,,,,
404,4,oats-cc mix,6/23/22,2022,1M,0,76,0,0,0,76,76,0,76,,,,,
404,4,oats-cc mix,6/30/22,2022,1M,0,12,0,4,0,16,12,4,-60,,,,,
404,4,oats-cc mix,7/8/22,2022,1M,8,24,0,0,0,32,32,0,16,,,,,
404,4,oats-cc mix,7/11/22,2022,1M,0,60,8,0,0,68,60,8,68,,,,,
404,4,oats-cc mix,8/9/22,2022,1M,0,12,24,8,0,44,12,32,-24,,,,,
404,4,oats-cc mix,9/8/22,2022,1M,0,0,48,16,0,64,0,64,20,,,,,
404,4,oats-cc mix,10/12/22,2022,1M,0,0,0,0,0,0,0,0,-64,,,,,
405,4,alfalfa/oats ,5/23/22,2022,1M,,,,,,4.5,,,4.5,4.45,136,48,48,32
405,4,alfalfa/oats ,6/1/22,2022,1M,4,44,0,0,0,48,48,0,43.5,,,,,
405,4,alfalfa/oats ,6/9/22,2022,1M,44,108,0,0,0,152,152,0,104,,,,,
